Water Year,layer_1,layer_11,layer_21,layer_31,layer_41,layer_51
1971-01-01,-302.9789654761553,-36.22204203158617,-160.95639193011448,-10.601989182945545,-131.23321336321533,-132.5104849068448
1972-01-01,-1182.5276735648513,-62.837974332273006,-123.19274456053972,-4.754435281560291,-101.3757583044935,-160.90022742119618
1973-01-01,1981.3581810239702,-31.83085561543703,-97.16505129914731,1.7626303524812101,9.187241469568107,17.045331028755754
1974-01-01,813.9227506555617,-9.136079534888268,-64.18067106744274,-4.8569918415741995,-31.137692779419012,3.3372114185476676
1975-01-01,-608.8440476730466,-34.22984831035137,-74.9582812585868,-6.052152837487085,-49.19824997684918,-90.36982403387083
1976-01-01,-3126.473204616923,-72.49748247861862,-82.01429030435975,-8.698760192171903,-105.66643427219242,-184.12303028708993
1977-01-01,-2426.185022732243,-117.86476091295481,-95.6495979744941,-14.915253525818116,-140.8221935001202,-218.27305891006654
1978-01-01,4571.660302534699,-46.291249211877584,-39.19996337564953,10.1519872386707,82.3780778076034,100.34060601843521
1979-01-01,-972.1493792496622,-66.82789600640535,-2.094129215925932,-35.23058516450692,-236.87328496365808,-168.96449449973096
1980-01-01,1484.9238606244326,-12.953459031879902,23.5457503516227,11.158576998896024,51.61830541261588,33.014014083768416
1981-01-01,-816.8968641767278,-31.29193289205432,-15.934593703597784,-9.983596408448648,-97.61010527814506,-142.8381659933475
1982-01-01,2532.501675121486,14.48214752972126,30.62586740590632,26.885881370471907,163.49037533637602,182.41174662066624
1983-01-01,901.2739283745177,18.41789998486638,15.225455386564136,0.34085559247068886,41.73389411935932,116.82893355051056
1984-01-01,-2255.8229443324963,-9.991119604557753,-17.171320006716996,-18.417787124582674,-121.40729689778527,-139.2723895877134
1985-01-01,-275.4571724720299,-19.85485804080963,-5.915632219752297,2.5691846928913833,-28.80603249091655,-115.81636049359804
1986-01-01,1550.3394718654454,-9.219796065241098,-17.045640295837075,4.113960620583384,123.32507037458709,124.07375917211175
1987-01-01,-1608.5771044529974,-59.91435182839632,-56.44330636411905,-31.987021010236276,-130.70643277384806,-95.76797042816179
